Nome,Descrição,Latitude,Longitude,Categoria
Shibuya Crossing,16:00-17:30 | FREE | Cruzamento mais famoso do mundo - até 3000 pessoas por vez | Estátua de Hachiko | Melhor vista: Starbucks 2º andar,35.659517,139.700556,Atrações
Meiji Jingu,17:30-19:00 | FREE | Santuário xintoísta | Floresta de 100000 árvores | Torii gates gigantes,35.676389,139.699167,Atrações
Harajuku - Takeshita Street,17:30-19:00 | FREE | Moda kawaii | Crepes | Cotton candy,35.670278,139.703056,Atrações
Senso-ji Temple,08:00-12:00 | FREE | Templo budista mais antigo de Tokyo (628) | Nakamise Shopping Street 250m | Kaminarimon Gate lanterna 700kg,35.714722,139.796667,Atrações
Tokyo Metropolitan Government Building,FREE | Observatório no 45º andar a 202m de altura | Vista panorâmica de Tokyo | Em dias claros vê Monte Fuji Tokyo Tower Meiji Shrine | Torre Norte e Torre Sul | Elevador de alta velocidade 55 segundos | Observatório Sul aberto até 21:30 com café | Tocho-mae Station no subsolo | 10 min a pé da saída oeste JR Shinjuku Station,35.689722,139.691944,Atrações
Akihabara,17:00-19:00 e 20:30-22:30 | FREE | Capital mundial de anime manga eletrônicos | Lojas 7-8 andares | Arcades | Maid cafés,35.698333,139.773056,Atrações
teamLab Planets,08:00-13:00 | ¥3800 | Reserva: 1-2 MESES | Museu de arte digital IMERSIVO | Andar descalço em água | Flores digitais | 2-3h visita,35.647778,139.797778,Atrações
DiverCity Tokyo Plaza - Gundam,08:00-13:00 | FREE | Gundam gigante em frente | Shopping | Food court,35.625278,139.775556,Atrações
Inari Sando,14:30-17:00 | FREE | Torii gates SEM multidões | Hidden gem Tokyo | Túneis torii vermelhos | Atmosfera serena,35.685278,139.763889,Atrações
Rainbow Bridge,17:00-19:00 pôr do sol | FREE | Vista da ponte iluminada | Passeio beira-mar Odaiba | Fotos Tokyo skyline,35.633333,139.763889,Atrações
Palácio Imperial de Tokyo,08:00-12:00 | FREE East Gardens | Residência do Imperador | Ponte Nijubashi | Tours guiados interior (reservar),35.685278,139.752778,Atrações
Gotokuji Temple,Atlas Obscura: O lendário berço do maneki-neko japonês é pontilhado com centenas de gatos da sorte. Durante o período Edo um gato levou um senhor feudal à segurança durante uma tempestade. Hoje centenas de estatuetas de gatos da sorte estão em exibição. Os maneki neko aqui levantam a pata direita e não carregam o koban tradicional (moeda de ouro),35.646389,139.647778,Atrações
The Giant Ghibli Clock,Atlas Obscura: O único relógio de cuco-vaudeville-steampunk-vitoriano de Tokyo. Projetado por Hayao Miyazaki. Mais de 20 toneladas de cobre e aço 3 andares de altura 60 pés de largura. 30+ vinhetas mecânicas incluindo canhões ferreiros roda giratória chaleira fervendo. Funciona ao meio-dia 15h 18h 20h. Sábados e domingos 10h extra,35.659722,139.758611,Atrações
Godzilla Head,Atlas Obscura: Não é mais a ameaça que já foi este monstro ainda tem força. A cabeça gigante de Godzilla de 80 toneladas fica no topo do Edifício Toho em Shinjuku. Baseada na aparência de Godzilla vs. Mothra (1992). Inaugurada em 2015. Ocasionalmente com olhos brilhantes e respiração fumegante. 12 metros de altura,35.694722,139.700833,Atrações
Transparent Restroom,Atlas Obscura: Banheiros únicos com vidro transparente coberto por filme PDLC. As paredes são feitas de vidro com filme PDLC que fica transparente quando eletricidade é aplicada. Ao trancar a porta a eletricidade desliga dando opacidade às paredes. Projetado por Shigeru Ban para THE TOKYO TOILET project. Aparece no filme Perfect Days (2023) de Wim Wenders,35.665833,139.698056,Atrações
Obake Kaidan,Atlas Obscura: Uma escada fantasma tem 40 degraus subindo mas apenas 39 descendo. Localizada no distrito de Nezu. O primeiro degrau é extremamente plano quase nivelado com o chão explicando a diferença na contagem. Lendas urbanas cercam a escadaria incluindo que os degraus são feitos de lápides,35.720556,139.764722,Atrações
Asakusa Underground Street,Atlas Obscura: Presa em uma era passada a mais antiga rua comercial subterrânea do Japão se esconde sob o popular distrito de Asakusa. Estabelecida em 1955 conectada à estação de metrô Asakusa parte do metrô mais antigo da Ásia. Restaurantes vietnamitas e tailandeses. Mantém suas lojas sonolentas abertas em sua cápsula do tempo enferrujada. Acessível 24/7,35.712222,139.798889,Atrações
Studio Ghibli Museum,08:00-13:00 | ¥1000 | Museu Hayao Miyazaki | Robot Laputa rooftop | Saturn Theater filmes curtos | Comprar tickets Lawson início mês | TRAZER PASSAPORTE | NÃO fotografar dentro,35.696111,139.570278,Dia 22 Dez
